epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1857.8,0.72704,0.11619,0.80478,0.98265,0.99756,0.9941,0.89117,0.58305,0.09318,0.7216,0.0003632,0.0003632,0.0003632
66,1886.28,0.70588,0.11399,0.80683,0.99048,0.99117,0.99401,0.90968,0.51133,0.08328,0.71573,0.00035325,0.00035325,0.00035325
67,1914.59,0.72477,0.11607,0.80877,0.99179,0.97997,0.99484,0.89424,0.5633,0.08702,0.72103,0.0003433,0.0003433,0.0003433
68,1943.08,0.70583,0.11144,0.80408,0.98874,0.98641,0.99484,0.90587,0.53225,0.08653,0.71619,0.00033335,0.00033335,0.00033335
69,1971.73,0.71039,0.11419,0.80799,0.99457,0.98547,0.99499,0.91353,0.49815,0.08226,0.71416,0.0003234,0.0003234,0.0003234
70,2000.28,0.70408,0.11234,0.79975,0.99184,0.99469,0.99486,0.92134,0.49724,0.07769,0.71123,0.00031345,0.00031345,0.00031345
71,2028.63,0.69684,0.11292,0.80562,0.98996,0.99314,0.99478,0.90172,0.53077,0.08017,0.71767,0.0003035,0.0003035,0.0003035
72,2056.66,0.70556,0.11175,0.80414,0.9944,0.99998,0.99498,0.90776,0.51235,0.06981,0.71588,0.00029355,0.00029355,0.00029355
73,2084.78,0.68421,0.10947,0.802,0.99431,0.99623,0.99482,0.91248,0.5034,0.07213,0.71382,0.0002836,0.0002836,0.0002836
74,2113.15,0.6939,0.11262,0.80243,0.98917,0.9981,0.99452,0.92527,0.47085,0.0748,0.7111,0.00027365,0.00027365,0.00027365
75,2141.36,0.68472,0.11172,0.80259,0.99745,1,0.995,0.91942,0.49693,0.06548,0.71368,0.0002637,0.0002637,0.0002637
76,2169.6,0.6822,0.11015,0.80408,0.9969,0.99424,0.99498,0.93496,0.45549,0.0659,0.71121,0.00025375,0.00025375,0.00025375
77,2197.47,0.67153,0.10617,0.80094,0.987,0.99181,0.99498,0.93088,0.47935,0.0722,0.71132,0.0002438,0.0002438,0.0002438
78,2225.66,0.67779,0.10933,0.79896,0.99251,0.99475,0.99481,0.92687,0.47584,0.06812,0.71093,0.00023385,0.00023385,0.00023385
